views,comments,shares,likes,duration,captions,hashtags,created_at,created_day,created_month,created_year,tokenized_captions,filtered_captions,caption_length,split_hashtags
135,65,522,163,7,Vi davono il bis foryoupageforyou school,"foryoupage, foryou, school",2020-05-14,Thursday,May,2020,"['Vi', 'davono', 'il', 'bis', 'foryoupageforyou', 'school']","['Vi', 'davono', 'il', 'bis', 'foryoupageforyou', 'school']",40,"['foryoupage', 'foryou', 'school']"
2504,53,194,232,8,Sempre cos ciseicifai foryoupage foryou,"ciseicifai, foryoupage, foryou",2020-05-13,Wednesday,May,2020,"['Sempre', 'cos', 'ciseicifai', 'foryoupage', 'foryou']","['Sempre', 'cos', 'ciseicifai', 'foryoupage', 'foryou']",39,"['ciseicifai', 'foryoupage', 'foryou']"
1192,86,429,147,14,Che spavento  foryoupage foryou blackhumorironic,"foryoupage, foryou, blackhumor, ironic",2020-05-13,Wednesday,May,2020,"['Che', 'spavento', 'foryoupage', 'foryou', 'blackhumorironic']","['Che', 'spavento', 'foryoupage', 'foryou', 'blackhumorironic']",48,"['foryoupage', 'foryou', 'blackhumor', 'ironic']"
115,51,126,137,8,Da guadare fino alla fine foryoupage foryou,"foryoupage, foryou",2020-05-12,Tuesday,May,2020,"['Da', 'guadare', 'fino', 'alla', 'fine', 'foryoupage', 'foryou']","['Da', 'guadare', 'fino', 'alla', 'fine', 'foryoupage', 'foryou']",43,"['foryoupage', 'foryou']"
1083,78,319,135,8,foryoupage foryou comdey uomonero,"foryoupage, foryou, comdey, uomonero",2020-05-12,Tuesday,May,2020,"['foryoupage', 'foryou', 'comdey', 'uomonero']","['foryoupage', 'foryou', 'comdey', 'uomonero']",33,"['foryoupage', 'foryou', 'comdey', 'uomonero']"
1882,44,322,179,7,Dietro un telefono tutti bravi confermate foryoupage foryou comdey,"foryoupage, foryou, comdey",2020-05-12,Tuesday,May,2020,"['Dietro', 'un', 'telefono', 'tutti', 'bravi', 'confermate', 'foryoupage', 'foryou', 'comdey']","['Dietro', 'un', 'telefono', 'tutti', 'bravi', 'confermate', 'foryoupage', 'foryou', 'comdey']",66,"['foryoupage', 'foryou', 'comdey']"
4144,109,310,535,10,Toccami tutto ma non le scarpe nike foryoupage foryou sferaebbasta,"nike, foryoupage, foryou",2020-05-11,Monday,May,2020,"['Toccami', 'tutto', 'ma', 'non', 'le', 'scarpe', 'nike', 'foryoupage', 'foryou', 'sferaebbasta']","['Toccami', 'tutto', 'non', 'le', 'scarpe', 'nike', 'foryoupage', 'foryou', 'sferaebbasta']",66,"['nike', 'foryoupage', 'foryou']"
1711,71,759,22,15,Perch baby foryoupage foryou,"foryoupage, foryou",2020-05-11,Monday,May,2020,"['Perch', 'baby', 'foryoupage', 'foryou']","['Perch', 'baby', 'foryoupage', 'foryou']",28,"['foryoupage', 'foryou']"
1336,69,548,184,8,Cosa combini salvo ciseicifai foryoupage foryou,"ciseicifai, foryoupage, foryou",2020-05-11,Monday,May,2020,"['Cosa', 'combini', 'salvo', 'ciseicifai', 'foryoupage', 'foryou']","['Cosa', 'combini', 'salvo', 'ciseicifai', 'foryoupage', 'foryou']",47,"['ciseicifai', 'foryoupage', 'foryou']"
4532,751,2596,685,6,Che vita che deve fare luomo nero smartwork foryoupage foryou,"smartwork, foryoupage, foryou",2020-05-10,Sunday,May,2020,"['Che', 'vita', 'che', 'deve', 'fare', 'luomo', 'nero', 'smartwork', 'foryoupage', 'foryou']","['Che', 'vita', 'che', 'deve', 'fare', 'luomo', 'nero', 'smartwork', 'foryoupage', 'foryou']",61,"['smartwork', 'foryoupage', 'foryou']"
