views,comments,shares,likes,duration,captions,hashtags,created_at
207٫1,226,281,30٫1,15,La persona dopo la @ ti deve regalare la play 5#foryoupage #foryou #comic #ironia #ps5,"foryoupage, foryou, comic, ironia, ps5",11/25/2020
312٫4,112,579,41٫7,15,tratto da una storia vera #foryoupage #foryou #comic #calcio #verità,"foryoupage, foryou, comic, calcio, verità",11/25/2020
456٫7,368,2٫263,81٫7,15,Tagga l’eroe della tua classe #foryoupage #foryou #comic #school #hero,"foryoupage, foryou, comic, school, hero",11/24/2020
208٫3,128,165,30٫7,11,Ogni volta la stessa storia #foryoupage #foryou #comic,"foryoupage, foryou, comic",11/24/2020
255٫3,423,416,42٫2,15,La persona dopo la @ ti deve 150 euro #foryoupage #foryou #comic #ironia crediti @manlikeyon,"foryoupage, foryou, comic, ironia",11/23/2020
460٫6,363,1٫874,88٫2,12,#stitch con @jm1tchell non e andata come volevo #foryoupage #foryou #stitch,"stitch, foryoupage, foryou, stitch",11/23/2020
"17,600,000",12٫7,19٫1,"2,300,000",14,#stitch con @antonchaley #foryoupage #foryou #comic,"stitch, foryoupage, foryou, comic",11/22/2020
329٫5,211,690,39٫9,15,La persona dopo la @ ti tradirà presto #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",11/22/2020
285٫1,249,69,41٫6,23,"quello vale più di ogni cosa , siamo una grande famiglia #family #foryoupage #foryou","family, foryoupage, foryou",11/21/2020
268٫2,199,390,37٫8,11,La persona dopo la @ e il ragazzo silenzio #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",11/21/2020
252٫8,155,376,42٫7,46,Tagga l’amico che non mette mai la mascherina #foryoupage #foryou #comic #covid19 #ironia @willsmith,"foryoupage, foryou, comic, covid19, ironia",11/21/2020
207٫5,177,219,26٫1,12,la persona dopo la @ ti deve un menu al Mc #foryoupage #foryou #comic #ironia #school,"foryoupage, foryou, comic, ironia, school",11/20/2020
364٫4,707,557,32٫3,39,Giusto per mettere le cose in chiaro #foryoupage #foryou #sferaebbasta @sferaebbasta,"foryoupage, foryou, sferaebbasta",11/20/2020
235٫5,85,95,26٫9,15,Tagga la persona per qui canteresti questi canzone #foryou #foryoupage #comic #bbf #amici,"foryou, foryoupage, comic, bbf, amici",11/20/2020
287٫8,450,329,40٫2,6,chi quanti come me #foryou #foryoupage #comic #ironia #pancarrè,"foryou, foryoupage, comic, ironia, pancarrè",11/19/2020
280٫7,183,223,39٫3,9,Ogni volta è una guerra #foryou #foryoupage #comic #verita,"foryou, foryoupage, comic, verita",11/19/2020
328,118,292,57٫4,15,Quando due ragazzi silenziosi si incontrano #foryou #foryoupage #ironia #comic,"foryou, foryoupage, ironia, comic",11/18/2020
415٫8,138,371,74٫5,15,#duetto con @juzi_draws #foryoupage #foryou #anime,"duetto, foryoupage, foryou, anime",11/17/2020
365٫2,200,651,70٫7,13,eccovi la secondo versione #foryoupage #foryou #ironia #comic,"foryoupage, foryou, ironia, comic",11/17/2020
187٫6,221,259,29٫5,15,La persona dopo la la @ in realtà è l’uomo nero #foryou #comic #ironia #foryoupage #verità,"foryou, comic, ironia, foryoupage, verità",11/17/2020
858٫2,552,2,185٫3,15,Qundo due ragazzi silenziosi si incontrano #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",11/16/2020
254٫2,199,671,43٫7,13,che scelta avreste fatti #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",11/16/2020
179٫4,115,292,27٫3,21,la prima persona dopo la @ andrà in paradiso la seconda all’inferno #foryoupage #foryou #comic #ironia #paradiso #inferno,"foryoupage, foryou, comic, ironia, paradiso, inferno",11/15/2020
203٫1,139,508,33٫1,12,La persona dopo la @ e tua madre #foryoupage #foryou #comic #fbi,"foryoupage, foryou, comic, fbi",11/14/2020
221,72,152,29٫3,7,Prima gli amici #foryoupage #foryou #comic #crush #beastfriend,"foryoupage, foryou, comic, crush, beastfriend",11/11/2020
463٫1,371,426,84٫1,12,Vi prego capitela hahaha #foryoupage #foryou #comic #crush #ironia,"foryoupage, foryou, comic, crush, ironia",11/11/2020
314٫9,244,1٫173,47٫5,8,tagga il tuo migliore amico #foryoupage #foryou #comic #ironia #beastfriend,"foryoupage, foryou, comic, ironia, beastfriend",11/10/2020
230٫9,131,298,37٫3,9,Tagga il tuo compagno scroccone #foryoupage #foryou #comic #ironia #school,"foryoupage, foryou, comic, ironia, school",11/9/2020
